,Name,Industry,Sector,Headquarters,Founded,Notes
0,Agni Air,Consumer services,Airlines,Kathmandu,2006,"Airline, defunct 2006"
1,Agriculture Development Bank,Financials,Banks,Kathmandu,1968,"Bank, rural credit institution"
2,Air Nepal International,Consumer services,Airlines,Kathmandu,2005,"Airline, defunct 2006"
3,Asian Airlines,Consumer services,Airlines,Kathmandu,2002[6],"Airline, defunct 2006"
4,Bajeko Sekuwa,Consumer services,Restaurants & bars,Kathmandu,?,Restaurant chain
5,Base Air,Consumer services,Airlines,?,2004,"Airline, defunct 2007"
6,Bhatbhateni supermarket,Consumer services,Retail Chain,Kathmandu,1984,
7,Buddha Air,Consumer services,Airlines,Jawalakhel,1997,Domestic airline
8,Chaudhary Group,Conglomerates,-,Kathmandu,1968,"Consumer goods, financials, industrials"
9,Cosmic Air,Consumer services,Airlines,Kathmandu,1997,"Airline, defunct 2008"
10,Deurali-Janta Pharmaceuticals,Health care,Pharmaceuticals,Kathmandu,1988,Pharma
11,Dish Home,Consumer services,Broadcasting & entertainment,Lalitpur,2010,Satellite
12,Everest Air,Consumer services,Airlines,Kathmandu,1992,"Airline, defunct 1998"
13,Fly Yeti,Consumer services,Airlines,Kathmandu,2007,"Low-cost airline, defunct 2008"
14,Flying Dragon Airlines,Consumer services,Airlines,Nepalgunj,2005,Airline
15,Giribandhu Tea Estate,Consumer goods,Food products,Birtamod,1962[7],Tea
16,Golyan Group,Conglomerates,-,Kathmandu,1960,"Agriculture, Hospitality, Manufacturing, Renewable Energy"
17,Gorkha Airlines,Consumer services,Airlines,Kathmandu,1996,Charter airline
18,Guna Airlines,Consumer services,Airlines,Kathmandu,2009,"Airline, defunct 2013"
19,Himalayan Bank,Financials,Banks,Kathmandu,1993,Private sector bank
20,Hulas Motors,Consumer goods,Automobiles,Biratnagar,1996,{{{6}}}
21,IMS Group Nepal,Conglomerates,-,Kathmandu,1993,"Mobile phones, Consumer Goods, Automobiles, Real estate"
22,Impro Airways,Consumer services,Airlines,?,2006,"Helicopter airline, defunct 2010"
23,Karnali Air,Consumer services,Airlines,Kathmandu,?,"Airline, defunct 2003"
24,Kathmandu Infosys,Technology,Computer services,Kathmandu,2016,Educational Consultant
25,Krishna Pauroti,Consumer goods,Food products,Kathmandu,1948,Bakery
26,Laxmi Bank,Financials,Banks,Kathmandu,2002,Commercial bank
27,Makalu Air,Consumer services,Airlines,Nepalgunj,2009,Airline
28,Mountain Air,Consumer services,Airlines,?,2000,"Airline, defunct 2002"
29,Nabil Bank,Financials,Banks,Kathmandu,1984,Commercial bank
30,Ncell,Telecommunications,Mobile telecommunications,Lalitpur,2004,GSM
31,Necon Air,Consumer services,Airlines,?,1992,"Airline, defunct 2003"
32,Nepal Airlines,Consumer services,Airlines,Kathmandu,1958,Flag carrier airline
33,Nepal Bangladesh Bank,Financials,Banks,Kathmandu,1994,Commercial bank
34,Nepal Bank Limited,Financials,Banks,Kathmandu,1937,State-owned bank
35,Nepal Investment Bank,Financials,Banks,Kathmandu,1986,Commercial bank
36,Nepal Oil Corporation,Oil & gas,Exploration & production,Kathmandu,1970,State owned petro concern
37,Nepal Railway Company Limited,Industrials,Railroads,Janakpur,1927,Railroads
38,Nepal Rastra Bank,Financials,Banks,Kathmandu,1956,Central bank
39,Nepal SBI Bank,Financials,Banks,Kathmandu,1992,Joint venture bank with State Bank of India
40,Nepal Stock Exchange,Financials,Investment services,Kathmandu,1993,Primary exchange
41,Nepal Telecom,Telecommunications,Fixed line telecommunications,Kathmandu,1913,State telecom provider
42,NIDC Development Bank,Financials,Banks,Kathmandu,1959,Industrial bank
43,Rastriya Banijya Bank,Financials,Banks,Kathmandu,1966,State-owned commercial bank
44,Ratna Pustak Bhandar,Consumer services,Specialty retailers,Kathmandu,1946,Books
45,Rastriya Beema Sansthan,Financials,Full line insurance,Kathmandu,1967,Insurance
46,Shangri-La Air,Consumer services,Airlines,?,1999,"Airline, merged with Necon Air in 2001"
47,Shree Airlines,Consumer services,Airlines,Kathmandu,1999,Charter helicopter airline
48,Sita Air,Consumer services,Airlines,Kathmandu,2003,Airline
49,Skyline Airways,Consumer services,Airlines,Kathmandu,1999,"Airline, defunct 2003"
50,SmartCell,Telecommunications,Mobile telecommunications,Lalitpur,2008,GSM
51,Standard Chartered Nepal,Financials,Banks,Kathmandu,1987,"Bank, significant subsidiary of Standard Chartered (UK)"
52,Subisu,Telecommunications,Fixed line telecommunications,Kathmandu,1999,Cable Internet
53,Tara Air,Consumer services,Airlines,Kathmandu,2009,Airline
54,WorldLink,Telecommunications,Fixed line telecommunications,Kathmandu,1995,Internet and network service provider
55,Yeti Airlines,Consumer services,Airlines,Kathmandu,1998,Airline
